Date,UE,GDP,CPI,Country,CPI_Identifier,GDP_Identifier,UE_Identifier
1/1/1994,7.3,7136.3,146.2,US,CPIAUCNS,GDP,UNRATENSA
2/1/1994,7.1,,146.7,US,CPIAUCNS,GDP,UNRATENSA
3/1/1994,6.8,,147.2,US,CPIAUCNS,GDP,UNRATENSA
4/1/1994,6.2,7269.8,147.4,US,CPIAUCNS,GDP,UNRATENSA
5/1/1994,5.9,,147.5,US,CPIAUCNS,GDP,UNRATENSA
6/1/1994,6.2,,148,US,CPIAUCNS,GDP,UNRATENSA
7/1/1994,6.2,7352.3,148.4,US,CPIAUCNS,GDP,UNRATENSA
8/1/1994,5.9,,149,US,CPIAUCNS,GDP,UNRATENSA
9/1/1994,5.6,,149.4,US,CPIAUCNS,GDP,UNRATENSA
10/1/1994,5.4,7476.7,149.5,US,CPIAUCNS,GDP,UNRATENSA
11/1/1994,5.3,,149.7,US,CPIAUCNS,GDP,UNRATENSA
12/1/1994,5.1,,149.7,US,CPIAUCNS,GDP,UNRATENSA
1/1/1995,6.2,7545.3,150.3,US,CPIAUCNS,GDP,UNRATENSA
2/1/1995,5.9,,150.9,US,CPIAUCNS,GDP,UNRATENSA
3/1/1995,5.7,,151.4,US,CPIAUCNS,GDP,UNRATENSA
4/1/1995,5.6,7604.9,151.9,US,CPIAUCNS,GDP,UNRATENSA
5/1/1995,5.5,,152.2,US,CPIAUCNS,GDP,UNRATENSA
6/1/1995,5.8,,152.5,US,CPIAUCNS,GDP,UNRATENSA
7/1/1995,5.9,7706.5,152.5,US,CPIAUCNS,GDP,UNRATENSA
8/1/1995,5.6,,152.9,US,CPIAUCNS,GDP,UNRATENSA
9/1/1995,5.4,,153.2,US,CPIAUCNS,GDP,UNRATENSA
10/1/1995,5.2,7799.5,153.7,US,CPIAUCNS,GDP,UNRATENSA
11/1/1995,5.3,,153.6,US,CPIAUCNS,GDP,UNRATENSA
12/1/1995,5.2,,153.5,US,CPIAUCNS,GDP,UNRATENSA
1/1/1996,6.3,7893.1,154.4,US,CPIAUCNS,GDP,UNRATENSA
2/1/1996,6,,154.9,US,CPIAUCNS,GDP,UNRATENSA
3/1/1996,5.8,,155.7,US,CPIAUCNS,GDP,UNRATENSA
4/1/1996,5.4,8061.5,156.3,US,CPIAUCNS,GDP,UNRATENSA
5/1/1996,5.4,,156.6,US,CPIAUCNS,GDP,UNRATENSA
6/1/1996,5.5,,156.7,US,CPIAUCNS,GDP,UNRATENSA
7/1/1996,5.6,8159,157,US,CPIAUCNS,GDP,UNRATENSA
8/1/1996,5.1,,157.3,US,CPIAUCNS,GDP,UNRATENSA
9/1/1996,5,,157.8,US,CPIAUCNS,GDP,UNRATENSA
10/1/1996,4.9,8287.1,158.3,US,CPIAUCNS,GDP,UNRATENSA
11/1/1996,5,,158.6,US,CPIAUCNS,GDP,UNRATENSA
12/1/1996,5,,158.6,US,CPIAUCNS,GDP,UNRATENSA
1/1/1997,5.9,8402.1,159.1,US,CPIAUCNS,GDP,UNRATENSA
2/1/1997,5.7,,159.6,US,CPIAUCNS,GDP,UNRATENSA
3/1/1997,5.5,,160,US,CPIAUCNS,GDP,UNRATENSA
4/1/1997,4.8,8551.9,160.2,US,CPIAUCNS,GDP,UNRATENSA
5/1/1997,4.7,,160.1,US,CPIAUCNS,GDP,UNRATENSA
6/1/1997,5.2,,160.3,US,CPIAUCNS,GDP,UNRATENSA
7/1/1997,5,8691.8,160.5,US,CPIAUCNS,GDP,UNRATENSA
8/1/1997,4.8,,160.8,US,CPIAUCNS,GDP,UNRATENSA
9/1/1997,4.7,,161.2,US,CPIAUCNS,GDP,UNRATENSA
10/1/1997,4.4,8788.3,161.6,US,CPIAUCNS,GDP,UNRATENSA
11/1/1997,4.3,,161.5,US,CPIAUCNS,GDP,UNRATENSA
12/1/1997,4.4,,161.3,US,CPIAUCNS,GDP,UNRATENSA
1/1/1998,5.2,8889.7,161.6,US,CPIAUCNS,GDP,UNRATENSA
2/1/1998,5,,161.9,US,CPIAUCNS,GDP,UNRATENSA
3/1/1998,5,,162.2,US,CPIAUCNS,GDP,UNRATENSA
4/1/1998,4.1,8994.7,162.5,US,CPIAUCNS,GDP,UNRATENSA
5/1/1998,4.2,,162.8,US,CPIAUCNS,GDP,UNRATENSA
6/1/1998,4.7,,163,US,CPIAUCNS,GDP,UNRATENSA
7/1/1998,4.7,9146.5,163.2,US,CPIAUCNS,GDP,UNRATENSA
8/1/1998,4.5,,163.4,US,CPIAUCNS,GDP,UNRATENSA
9/1/1998,4.4,,163.6,US,CPIAUCNS,GDP,UNRATENSA
10/1/1998,4.2,9325.7,164,US,CPIAUCNS,GDP,UNRATENSA
11/1/1998,4.1,,164,US,CPIAUCNS,GDP,UNRATENSA
12/1/1998,4,,163.9,US,CPIAUCNS,GDP,UNRATENSA
1/1/1999,4.8,9447.1,164.3,US,CPIAUCNS,GDP,UNRATENSA
2/1/1999,4.7,,164.5,US,CPIAUCNS,GDP,UNRATENSA
3/1/1999,4.4,,165,US,CPIAUCNS,GDP,UNRATENSA
4/1/1999,4.1,9557,166.2,US,CPIAUCNS,GDP,UNRATENSA
5/1/1999,4,,166.2,US,CPIAUCNS,GDP,UNRATENSA
6/1/1999,4.5,,166.2,US,CPIAUCNS,GDP,UNRATENSA
7/1/1999,4.5,9712.3,166.7,US,CPIAUCNS,GDP,UNRATENSA
8/1/1999,4.2,,167.1,US,CPIAUCNS,GDP,UNRATENSA
9/1/1999,4.1,,167.9,US,CPIAUCNS,GDP,UNRATENSA
10/1/1999,3.8,9926.1,168.2,US,CPIAUCNS,GDP,UNRATENSA
11/1/1999,3.8,,168.3,US,CPIAUCNS,GDP,UNRATENSA
12/1/1999,3.7,,168.3,US,CPIAUCNS,GDP,UNRATENSA
1/1/2000,4.5,10031,168.8,US,CPIAUCNS,GDP,UNRATENSA
2/1/2000,4.4,,169.8,US,CPIAUCNS,GDP,UNRATENSA
3/1/2000,4.3,,171.2,US,CPIAUCNS,GDP,UNRATENSA
4/1/2000,3.7,10278.3,171.3,US,CPIAUCNS,GDP,UNRATENSA
5/1/2000,3.8,,171.5,US,CPIAUCNS,GDP,UNRATENSA
6/1/2000,4.1,,172.4,US,CPIAUCNS,GDP,UNRATENSA
7/1/2000,4.2,10357.4,172.8,US,CPIAUCNS,GDP,UNRATENSA
8/1/2000,4.1,,172.8,US,CPIAUCNS,GDP,UNRATENSA
9/1/2000,3.8,,173.7,US,CPIAUCNS,GDP,UNRATENSA
10/1/2000,3.6,10472.3,174,US,CPIAUCNS,GDP,UNRATENSA
11/1/2000,3.7,,174.1,US,CPIAUCNS,GDP,UNRATENSA
12/1/2000,3.7,,174,US,CPIAUCNS,GDP,UNRATENSA
1/1/2001,4.7,10508.1,175.1,US,CPIAUCNS,GDP,UNRATENSA
2/1/2001,4.6,,175.8,US,CPIAUCNS,GDP,UNRATENSA
3/1/2001,4.5,,176.2,US,CPIAUCNS,GDP,UNRATENSA
4/1/2001,4.2,10638.4,176.9,US,CPIAUCNS,GDP,UNRATENSA
5/1/2001,4.1,,177.7,US,CPIAUCNS,GDP,UNRATENSA
6/1/2001,4.7,,178,US,CPIAUCNS,GDP,UNRATENSA
7/1/2001,4.7,10639.5,177.5,US,CPIAUCNS,GDP,UNRATENSA
8/1/2001,4.9,,177.5,US,CPIAUCNS,GDP,UNRATENSA
9/1/2001,4.7,,178.3,US,CPIAUCNS,GDP,UNRATENSA
10/1/2001,5,10701.3,177.7,US,CPIAUCNS,GDP,UNRATENSA
11/1/2001,5.3,,177.4,US,CPIAUCNS,GDP,UNRATENSA
12/1/2001,5.4,,176.7,US,CPIAUCNS,GDP,UNRATENSA
1/1/2002,6.3,10834.4,177.1,US,CPIAUCNS,GDP,UNRATENSA
2/1/2002,6.1,,177.8,US,CPIAUCNS,GDP,UNRATENSA
3/1/2002,6.1,,178.8,US,CPIAUCNS,GDP,UNRATENSA
4/1/2002,5.7,10934.8,179.8,US,CPIAUCNS,GDP,UNRATENSA
5/1/2002,5.5,,179.8,US,CPIAUCNS,GDP,UNRATENSA
6/1/2002,6,,179.9,US,CPIAUCNS,GDP,UNRATENSA
7/1/2002,5.9,11037.1,180.1,US,CPIAUCNS,GDP,UNRATENSA
8/1/2002,5.7,,180.7,US,CPIAUCNS,GDP,UNRATENSA
9/1/2002,5.4,,181,US,CPIAUCNS,GDP,UNRATENSA
10/1/2002,5.3,11103.8,181.3,US,CPIAUCNS,GDP,UNRATENSA
11/1/2002,5.6,,181.3,US,CPIAUCNS,GDP,UNRATENSA
12/1/2002,5.7,,180.9,US,CPIAUCNS,GDP,UNRATENSA
1/1/2003,6.5,11230.1,181.7,US,CPIAUCNS,GDP,UNRATENSA
2/1/2003,6.4,,183.1,US,CPIAUCNS,GDP,UNRATENSA
3/1/2003,6.2,,184.2,US,CPIAUCNS,GDP,UNRATENSA
4/1/2003,5.8,11370.7,183.8,US,CPIAUCNS,GDP,UNRATENSA
5/1/2003,5.8,,183.5,US,CPIAUCNS,GDP,UNRATENSA
6/1/2003,6.5,,183.7,US,CPIAUCNS,GDP,UNRATENSA
7/1/2003,6.3,11625.1,183.9,US,CPIAUCNS,GDP,UNRATENSA
8/1/2003,6,,184.6,US,CPIAUCNS,GDP,UNRATENSA
9/1/2003,5.8,,185.2,US,CPIAUCNS,GDP,UNRATENSA
10/1/2003,5.6,11816.8,185,US,CPIAUCNS,GDP,UNRATENSA
11/1/2003,5.6,,184.5,US,CPIAUCNS,GDP,UNRATENSA
12/1/2003,5.4,,184.3,US,CPIAUCNS,GDP,UNRATENSA
1/1/2004,6.3,11988.4,185.2,US,CPIAUCNS,GDP,UNRATENSA
2/1/2004,6,,186.2,US,CPIAUCNS,GDP,UNRATENSA
